iter,current_fitness,new_fitness
1,0.3225806451612903,0.3225806451612903
2,0.3333333333333333,0.3333333333333333
3,0.3448275862068966,0.3448275862068966
4,0.35714285714285715,0.35714285714285715
5,0.37037037037037035,0.37037037037037035
6,0.37037037037037035,0.37037037037037035
7,0.38461538461538464,0.38461538461538464
8,0.4,0.4
9,0.4166666666666667,0.4166666666666667
10,0.43478260869565216,0.43478260869565216
11,0.45454545454545453,0.45454545454545453
12,0.45454545454545453,0.45454545454545453
13,0.45454545454545453,0.45454545454545453
14,0.47619047619047616,0.47619047619047616
15,0.5,0.5
16,0.5,0.5
17,0.5,0.5
18,0.5263157894736842,0.5263157894736842
19,0.5555555555555556,0.5555555555555556
20,0.5882352941176471,0.5882352941176471
